time,boundary
201811091500,"POLYGON ((-118.723 34.0991, -118.734 34.0991, -118.756 34.0991, -118.766 34.0991, -118.777 34.1082, -118.799 34.1263, -118.82 34.1535, -118.82 34.1625, -118.82 34.1716, -118.81 34.1716, -118.799 34.1715, -118.756 34.1443, -118.745 34.1443, -118.712 34.1443, -118.701 34.1352, -118.702 34.1261, -118.712 34.099, -118.723 34.0991))"
201811091600,"POLYGON ((-118.82 34.1535, -118.82 34.1625, -118.82 34.1716, -118.81 34.1716, -118.799 34.1715, -118.799 34.2258, -118.809 34.2349, -118.809 34.2439, -118.799 34.2439, -118.788 34.2439, -118.766 34.2439, -118.755 34.2438, -118.744 34.2348, -118.745 34.2257, -118.745 34.1443, -118.712 34.1443, -118.701 34.1352, -118.702 34.1261, -118.712 34.099, -118.734 34.0719, -118.745 34.072, -118.777 34.072, -118.81 34.0811, -118.821 34.0811, -118.831 34.0811, -118.853 34.1083, -118.853 34.1173, -118.853 34.1264, -118.842 34.1264, -118.80956106229 34.13997909020419, -118.82 34.1535))"
201811091700,"POLYGON ((-118.799 34.054, -118.81 34.054, -118.831 34.054, -118.842 34.054, -118.853 34.0631, -118.864 34.0812, -118.875 34.0902, -118.885 34.1083, -118.896 34.1174, -118.896 34.1264, -118.885 34.1264, -118.842 34.1445, -118.831 34.1535, -118.82 34.1716, -118.809 34.2349, -118.82 34.253, -118.831 34.262, -118.831 34.2711, -118.82 34.2711, -118.809 34.2711, -118.799 34.262, -118.755 34.2438, -118.744 34.2348, -118.69 34.2347, -118.68 34.2437, -118.669 34.2346, -118.669 34.2256, -118.669 34.2165, -118.68 34.1985, -118.701 34.1714, -118.701 34.1352, -118.702 34.1261, -118.712 34.099, -118.734 34.0719, -118.745 34.072, -118.788 34.0539, -118.799 34.054))"
201811091800,"POLYGON ((-118.878 34.0554, -118.9 34.1163, -118.896 34.1264, -118.874 34.1535, -118.864 34.1535, -118.831 34.1535, -118.809 34.2349, -118.809 34.2439, -118.799 34.2439, -118.788 34.2439, -118.766 34.2439, -118.755 34.2438, -118.744 34.2348, -118.69 34.2347, -118.68 34.2437, -118.669 34.2346, -118.669 34.2256, -118.669 34.2165, -118.68 34.1985, -118.701 34.1352, -118.702 34.1261, -118.712 34.099, -118.734 34.0719, -118.745 34.0539, -118.756 34.0539, -118.767 34.0539, -118.777 34.0539, -118.788 34.0539, -118.799 34.054, -118.81 34.054, -118.831 34.054, -118.842 34.054, -118.875 34.054, -118.878 34.0554))"
201811091900,"POLYGON ((-118.878 34.0396, -118.875 34.045, -118.885 34.1083, -118.896 34.1174, -118.925 34.1295, -118.918 34.1355, -118.874 34.1535, -118.842 34.1987, -118.831 34.1987, -118.82 34.1987, -118.81 34.1896, -118.799 34.1715, -118.712 34.2076, -118.701 34.2166, -118.69 34.2347, -118.68 34.2437, -118.669 34.2346, -118.669 34.2256, -118.669 34.2165, -118.68 34.1985, -118.712 34.1081, -118.712 34.099, -118.734 34.0719, -118.745 34.0539, -118.767 34.0268, -118.777 34.0268, -118.788 34.0268, -118.81 34.0268, -118.821 34.0268, -118.853 34.0269, -118.875 34.0359, -118.878 34.0396))"
201811092000,"POLYGON ((-118.887 34.0573, -118.896 34.0812, -118.907 34.0902, -118.933 34.1083, -118.929 34.1083, -118.896 34.1083, -118.853 34.1264, -118.82 34.1716, -118.81 34.1716, -118.799 34.1715, -118.734 34.2257, -118.734 34.2348, -118.723 34.2438, -118.68 34.2437, -118.669 34.2346, -118.658 34.2165, -118.647 34.2074, -118.647 34.1984, -118.658 34.1894, -118.68 34.1442, -118.691 34.0809, -118.702 34.0719, -118.745 34.0539, -118.767 34.0268, -118.788 34.0087, -118.799 33.9997, -118.81 34.0087, -118.821 34.0268, -118.831 34.0359, -118.875 34.054, -118.887 34.0573))"
201811092100,"POLYGON ((-118.972 34.072, -118.972 34.0721, -118.972 34.0722, -118.961 34.0812, -118.95 34.0993, -118.939 34.1083, -118.929 34.1083, -118.896 34.1083, -118.853 34.1264, -118.842 34.1264, -118.831 34.1173, -118.777 34.1172, -118.766 34.1263, -118.712 34.1533, -118.712 34.1985, -118.712 34.2076, -118.701 34.2166, -118.69 34.2347, -118.68 34.2437, -118.669 34.2346, -118.658 34.2165, -118.647 34.2074, -118.647 34.1984, -118.658 34.1803, -118.68 34.1442, -118.691 34.0809, -118.702 34.0719, -118.712 34.0719, -118.767 34.0268, -118.777 34.0268, -118.788 34.0268, -118.81 34.0268, -118.821 34.0268, -118.831 34.0359, -118.885 34.0359, -118.896 34.036, -118.907 34.036, -118.95 34.0631, -118.961 34.0631, -118.972 34.072))"
201811092200,"POLYGON ((-118.988 34.0992, -118.983 34.1083, -118.972 34.1264, -118.961 34.1355, -118.95 34.1355, -118.918 34.1355, -118.907 34.1264, -118.896 34.1083, -118.885 34.0993, -118.875 34.0812, -118.864 34.0721, -118.777 34.1082, -118.777 34.1172, -118.766 34.1353, -118.756 34.1443, -118.745 34.1443, -118.712 34.1443, -118.69 34.2256, -118.69 34.2347, -118.68 34.2437, -118.669 34.2346, -118.658 34.2165, -118.647 34.2074, -118.647 34.1984, -118.658 34.1894, -118.701 34.1352, -118.702 34.1261, -118.691 34.0809, -118.702 34.0719, -118.712 34.0719, -118.767 34.0268, -118.777 34.0268, -118.788 34.0268, -118.81 34.0268, -118.821 34.0268, -118.831 34.0359, -118.885 34.0359, -118.896 34.036, -118.939 34.036, -118.95 34.045, -118.961 34.0631, -118.972 34.0721, -118.988 34.0992))"
201811092300,"POLYGON ((-119.004 34.0721, -119.004 34.0812, -118.993 34.0902, -118.983 34.1083, -118.972 34.1264, -118.961 34.1355, -118.95 34.1355, -118.918 34.1355, -118.907 34.1264, -118.896 34.1083, -118.885 34.0993, -118.875 34.0812, -118.864 34.0721, -118.777 34.1082, -118.777 34.1172, -118.766 34.1353, -118.756 34.1443, -118.745 34.1443, -118.712 34.1443, -118.693 34.2166, -118.6924354243542 34.2166, -118.69 34.2256, -118.69 34.2347, -118.68 34.2437, -118.669 34.2346, -118.658 34.2165, -118.647 34.2074, -118.647 34.1984, -118.658 34.1894, -118.701 34.1352, -118.691 34.1171, -118.68 34.108, -118.68 34.099, -118.691 34.0899, -118.6929877661562 34.08906791184162, -118.691 34.0809, -118.702 34.0719, -118.712 34.0719, -118.767 34.0268, -118.777 34.0268, -118.7790166358595 34.0268, -118.788 34.0178, -118.788 34.0087, -118.799 33.9997, -118.81 34.0087, -118.81 34.0178, -118.799 34.0268, -118.81 34.0268, -118.821 34.0268, -118.831 34.0359, -118.885 34.0359, -118.896 34.036, -118.907 34.036, -118.929 34.036, -118.939 34.036, -118.972 34.036, -118.983 34.045, -118.993 34.0631, -119.004 34.0721))"
201811100000,"MULTIPOLYGON (((-118.712 34.1081, -118.712 34.099, -118.723 34.0991, -118.734 34.0991, -118.745 34.1081, -118.745 34.1172, -118.734 34.1172, -118.723 34.1171, -118.712 34.1081)), ((-118.993 34.0631, -119.004 34.0721, -119.004 34.0812, -118.993 34.0902, -118.983 34.1083, -118.972 34.1083, -118.961 34.1083, -118.939 34.0812, -118.939 34.0721, -118.939 34.0631, -118.95 34.0631, -118.961 34.0631, -118.983 34.0631, -118.993 34.0631)))"
201811100100,"MULTIPOLYGON (((-118.745 34.1081, -118.745 34.1172, -118.734 34.1172, -118.723 34.1171, -118.712 34.1081, -118.712 34.099, -118.723 34.0991, -118.734 34.0991, -118.745 34.1081)), ((-118.756 34.0901, -118.745 34.0991, -118.734 34.09, -118.734 34.081, -118.734 34.0719, -118.745 34.072, -118.756 34.081, -118.756 34.0901)), ((-119.004 34.0721, -119.004 34.0812, -118.993 34.0902, -118.983 34.1083, -118.972 34.1083, -118.961 34.1083, -118.939 34.0812, -118.939 34.0721, -118.939 34.0631, -118.95 34.0631, -118.961 34.0631, -118.983 34.0631, -118.993 34.0631, -119.004 34.0721)))"
201811100200,"MULTIPOLYGON (((-118.723 34.0448, -118.734 34.0538, -118.745 34.072, -118.756 34.081, -118.756 34.0901, -118.745 34.0991, -118.734 34.09, -118.723 34.0719, -118.713 34.0629, -118.713 34.0538, -118.723 34.0448)), ((-119.004 34.0721, -119.015 34.0902, -119.026 34.0993, -119.026 34.1083, -119.015 34.1174, -118.983 34.1083, -118.972 34.1083, -118.961 34.1083, -118.939 34.1083, -118.929 34.1083, -118.918 34.0993, -118.918 34.0902, -118.939 34.0631, -118.95 34.0631, -118.961 34.0631, -118.983 34.0631, -118.993 34.0631, -119.004 34.0721)))"
201811100300,"POLYGON ((-118.939 34.0631, -118.95 34.0631, -118.961 34.0631, -118.972 34.0721, -118.983 34.0902, -118.983 34.1083, -118.972 34.1083, -118.961 34.1083, -118.939 34.0812, -118.939 34.0721, -118.939 34.0631))"
201811100400,"MULTIPOLYGON (((-118.713 34.0538, -118.723 34.0448, -118.756 34.0539, -118.767 34.0539, -118.777 34.0539, -118.777 34.063, -118.767 34.072, -118.756 34.072, -118.723 34.0719, -118.713 34.0629, -118.713 34.0538)), ((-118.983 34.0902, -118.983 34.0993, -118.983 34.1083, -118.972 34.1083, -118.961 34.1083, -118.939 34.1083, -118.929 34.1083, -118.918 34.0993, -118.918 34.0902, -118.929 34.0902, -118.939 34.0902, -118.9463062730627 34.0902, -118.939 34.0812, -118.939 34.0721, -118.939 34.0631, -118.95 34.0631, -118.961 34.0631, -118.972 34.0721, -118.983 34.0902)))"
201811100500,"MULTIPOLYGON (((-118.756 34.0899, -118.756 34.0901, -118.745 34.0991, -118.738 34.0971, -118.712 34.09, -118.702 34.09, -118.691 34.0809, -118.702 34.0719, -118.713 34.0538, -118.723 34.0448, -118.734 34.0538, -118.745 34.072, -118.756 34.081, -118.756 34.0899)), ((-118.983 34.0902, -118.983 34.0993, -118.983 34.1083, -118.972 34.1083, -118.961 34.1083, -118.939 34.1083, -118.929 34.1083, -118.918 34.0993, -118.918 34.0902, -118.929 34.0902, -118.939 34.0902, -118.95 34.0902, -118.961 34.0902, -118.972 34.0902, -118.983 34.0902)))"
201811100600,"POLYGON ((-118.773 34.0665, -118.767 34.072, -118.756 34.0901, -118.745 34.0991, -118.738 34.0971, -118.712 34.09, -118.702 34.09, -118.691 34.0809, -118.702 34.0719, -118.7102424242424 34.05833746556474, -118.702 34.0447, -118.691 34.0357, -118.691 34.0266, -118.702 34.0176, -118.734 34.0267, -118.745 34.0267, -118.756 34.0268, -118.777 34.0539, -118.777 34.063, -118.773 34.0665))"
201811100700,"POLYGON ((-118.777 34.0539, -118.777 34.063, -118.773 34.0665, -118.767 34.072, -118.756 34.0901, -118.745 34.099, -118.734 34.09, -118.723 34.0719, -118.713 34.0629, -118.702 34.0447, -118.691 34.0357, -118.691 34.0266, -118.702 34.0176, -118.734 34.0267, -118.745 34.0267, -118.756 34.0268, -118.777 34.0539))"
201811100800,"POLYGON ((-118.777 34.0539, -118.777 34.063, -118.773 34.0665, -118.767 34.072, -118.756 34.072, -118.723 34.0719, -118.713 34.0629, -118.702 34.0447, -118.691 34.0357, -118.691 34.0266, -118.702 34.0176, -118.723 34.0267, -118.767 34.0539, -118.777 34.0539))"
201811102000,"POLYGON ((-118.972 34.1174, -118.972 34.1264, -118.961 34.1355, -118.95 34.1355, -118.918 34.1355, -118.907 34.1264, -118.907 34.1174, -118.907 34.1083, -118.918 34.1083, -118.95 34.1083, -118.972 34.1174))"
201811102100,"POLYGON ((-118.929 34.0902, -118.939 34.0902, -118.95 34.0902, -118.972 34.1174, -118.972 34.1264, -118.961 34.1355, -118.95 34.1355, -118.939 34.1264, -118.929 34.1083, -118.918 34.0993, -118.918 34.0902, -118.929 34.0902))"
201811102200,"POLYGON ((-118.972 34.1174, -118.972 34.1264, -118.961 34.1355, -118.95 34.1355, -118.939 34.1264, -118.929 34.1083, -118.918 34.0993, -118.918 34.0902, -118.929 34.0902, -118.939 34.0902, -118.95 34.0902, -118.972 34.1174))"
